"Destination","Description","Timings"
"Nicco Park","Amusement Park in Bhubaneswar","Open 11AM to 8PM"
"Ocean World Water Park","Water Park in Bhubaneswar","Open 10AM to 5PM"
"Science City","Science and Amusement Park in Bhubaneswar","Open 9AM to 7PM"
