Destination,Accomodations Nearby,Transportation,Timings
Jagannath Temple Puri,"Hotels:
  1. Hotel Sapphire International
  2. Hotel Sonar Tori
  3. Mahodadhi Palace","Trains:
   1. Puri Express
   2. Jagannath Express
By road: 1. Bus 2. Car",Open 4AM to 8PM
Konark Sun Temple,"Hotels:
   1. Sun Temple Hotel
   2. Surya Inn
   3. Yatrinivas","Trains: 
  1. Konark Express
By road: 1. Bus 2. Car",Open 6AM to 6PM
Lingaraj Temple,"Hotels: 
   1. Hotel Pushpak
   2. Mango Hotels","Trains: 
   1. Rajdhani Express
   2. Puri-Howrah
By road: 1. Bus 2. Car",Open 5AM to 7PM
Raja Rani Temple,"Hotels:
  1. Hotel Avani
  2. Ruchi Hotel","Trains: 
   1. Rajdhani Express
   2. Puri-Howrah Express
By road: 1. Bus 2. Car",Open 6AM to 8PM
