Destination,Accomodations Nearby,Transportation,Timings
Nandan Kanan,"Hotels:
  1.Hotel Nandan Park 
  2.Hotel Bhubaneswar Plus",Road: 1. Car 2. Two-Wheeler,Open 11AM to 6PM (Monday Closed)
Chandipur Crocodile Reserve,"Hotels:
  1.Hotel Tiger View","Trains:
   1. Purushottam Express
   2. Rajdhani Express
Road: 1.Car 2.Bus 3.Two-Wheelers",Open 10AM to 4PM (Sunday Closed)
Satkosia Tiger Reserve,"Hotels:
  1. Satkosia Sands Resort
  2. Rajput Hotel","By road: 1. Buses from Bhubaneswar and Cuttack
                 2. Car",Open 11AM to 6PM
Bhitarkanika Wildlife Sanctuary,"Hotels:
  1. Sand Pebbles Bhitarkanika Jungle Resorts",Road: 140 km from Cuttack,Open 8AM to 5PM
