Destination,Accomodations Nearby,Transportation,Timings
Chilika Lake,"Hotels: 
   1. Yatri Nivas Hotel
   2. Panthanivas
Resorts: 
   1. Geo Eco Resort
   2. The Chariot Resort and Spa
Holiday Home: 
   1. Coastal Villa
   2. Ocean Delight","Train Arrivals:
   1. Puri Express
   2. Balugaon Express
By road: 1. Bus  2. Car",Open 6AM to 7PM
Ansupa Lake,"Hotels:
   1. Ambica Residency
   2. Hotel Seetal","Trains:
   1. Puri-Howrah Weekly Express
By road: 1. Cars(40 min from Bhubaneswar)
                 2. Bus",Always open
Hirakud Dam,"Hotels:
   1. Hotel Konark
   2. Hotel Sheela Towers","Trains: 
   1. Hirakud Express
By road: 1. Cars 2. Bus",Open 9AM to 6PM
Indravati Dam,"Hotels: 
   1. Ambica Hotel
   2. Hotel Basanta Vilas
   3. Ramvilash Hotel","Trains: 
   1. Bhubaneswar-Kalhandi Express
By road: 1. Car",Open 10AM to PM
